device_id,vehicle_id,start_time,end_time,start_x,start_y,start_loc_time,end_x,end_y,end_loc_time
1,1380,2025-05-09 14:14:46.010,2025-05-09 14:41:06.000,-1141209150,509409616,2025-05-09 14:14:46.010000+00:00,-1141846883,511194599,2025-05-09 14:41:06+00:00
1,1380,2025-05-09 15:39:22.010,2025-05-09 16:04:09.000,-1141845733,511195633,2025-05-09 15:39:22.010000+00:00,-1142477866,511167399,2025-05-09 16:04:09+00:00
1,1380,2025-05-09 16:18:58.000,2025-05-09 16:23:24.010,-1142480299,511166983,2025-05-09 16:18:58+00:00,-1142452866,511191766,2025-05-09 16:23:24.010000+00:00
1,1380,2025-05-09 16:55:25.010,2025-05-09 17:14:26.000,-1142452016,511190900,2025-05-09 16:55:25.010000+00:00,-1141577733,510858833,2025-05-09 17:14:26+00:00
1,1380,2025-05-09 17:32:02.010,2025-05-09 17:50:41.000,-1141576633,510859083,2025-05-09 17:32:02.010000+00:00,-1140904233,509855483,2025-05-09 17:50:41+00:00
1,1380,2025-05-09 18:08:00.000,2025-05-09 18:21:16.010,-1140904916,509855000,2025-05-09 18:08:00+00:00,-1141284866,509446133,2025-05-09 18:21:16.010000+00:00
1,1380,2025-05-09 18:33:56.000,2025-05-09 18:37:51.000,-1141285883,509446166,2025-05-09 18:33:56+00:00,-1141214216,509404533,2025-05-09 18:37:51+00:00
1,1380,2025-05-09 20:53:52.010,2025-05-09 20:57:21.000,-1141213916,509405649,2025-05-09 20:53:52.010000+00:00,-1141283400,509446633,2025-05-09 20:57:21+00:00
1,1380,2025-05-09 22:40:36.010,2025-05-09 22:51:39.010,-1141284983,509446466,2025-05-09 22:40:36.010000+00:00,-1141151283,509193616,2025-05-09 22:51:39.010000+00:00
1,1380,2025-05-09 23:45:25.010,2025-05-09 23:53:49.010,-1141150733,509193933,2025-05-09 23:45:25.010000+00:00,-1141205850,509410049,2025-05-09 23:53:49.010000+00:00
1,1380,2025-05-09 23:59:42.000,2025-05-10 00:03:17.010,-1141206816,509409850,2025-05-09 23:59:42+00:00,-1141282166,509446499,2025-05-10 00:03:17.010000+00:00
1,1380,2025-05-12 15:09:48.000,2025-05-12 15:20:22.010,-1141284900,509446050,2025-05-12 15:09:48+00:00,-1140985783,509739533,2025-05-12 15:20:22.010000+00:00
1,1380,2025-05-12 15:26:54.010,2025-05-12 15:28:43.000,-1140986100,509738866,2025-05-12 15:26:54.010000+00:00,-1140985800,509736666,2025-05-12 15:28:43+00:00
1,1380,2025-05-12 16:07:24.010,2025-05-12 16:30:38.000,-1140986566,509736016,2025-05-12 16:07:24.010000+00:00,-1141847883,511417166,2025-05-12 16:30:38+00:00
1,1380,2025-05-12 17:12:55.010,2025-05-12 17:14:13.010,-1141848216,511417466,2025-05-12 17:12:55.010000+00:00,-1141841083,511414300,2025-05-12 17:14:13.010000+00:00
1,1380,2025-05-12 17:18:13.010,2025-05-12 17:53:00.000,-1141840816,511414433,2025-05-12 17:18:13.010000+00:00,-1139589433,510373683,2025-05-12 17:53:00+00:00
1,1380,2025-05-12 17:59:33.000,2025-05-12 18:20:02.000,-1139590700,510373816,2025-05-12 17:59:33+00:00,-1140501566,509923533,2025-05-12 18:20:02+00:00
1,1380,2025-05-12 18:21:58.010,2025-05-12 18:24:20.000,-1140503033,509924233,2025-05-12 18:21:58.010000+00:00,-1140509066,509912050,2025-05-12 18:24:20+00:00
1,1380,2025-05-12 18:26:58.000,2025-05-12 18:35:39.010,-1140509483,509911866,2025-05-12 18:26:58+00:00,-1140476066,509779216,2025-05-12 18:35:39.010000+00:00
1,1380,2025-05-12 19:19:13.010,2025-05-12 19:32:30.000,-1140476516,509780166,2025-05-12 19:19:13.010000+00:00,-1141037100,510033283,2025-05-12 19:32:30+00:00
1,1380,2025-05-12 20:31:56.000,2025-05-12 20:40:58.000,-1141036933,510032916,2025-05-12 20:31:56+00:00,-1140904633,509857800,2025-05-12 20:40:58+00:00
1,1380,2025-05-12 20:44:32.010,2025-05-12 20:50:54.000,-1140904350,509858033,2025-05-12 20:44:32.010000+00:00,-1140708266,509850733,2025-05-12 20:50:54+00:00
1,1380,2025-05-12 21:33:11.000,2025-05-12 21:51:17.010,-1140709500,509850716,2025-05-12 21:33:11+00:00,-1141282750,509446950,2025-05-12 21:51:17.010000+00:00
1,1380,2025-05-13 00:04:17.020,2025-05-13 00:06:08.000,-1141284116,509446916,2025-05-13 00:04:17.020000+00:00,-1141282700,509446950,2025-05-13 00:06:08+00:00
1,1380,2025-05-13 14:48:32.010,2025-05-13 15:11:41.000,-1141283433,509446416,2025-05-13 14:48:32.010000+00:00,-1141342733,510509133,2025-05-13 15:11:41+00:00
1,1380,2025-05-13 15:44:00.010,2025-05-13 16:23:23.000,-1141343350,510508016,2025-05-13 15:44:00.010000+00:00,-1139556350,511621950,2025-05-13 16:23:23+00:00
1,1380,2025-05-13 16:24:30.010,2025-05-13 16:26:20.010,-1139556550,511622666,2025-05-13 16:24:30.010000+00:00,-1139557733,511621383,2025-05-13 16:26:20.010000+00:00
1,1380,2025-05-13 17:04:03.010,2025-05-13 17:05:10.010,-1139558016,511621133,2025-05-13 17:04:03.010000+00:00,-1139558566,511621016,2025-05-13 17:05:10.010000+00:00
1,1380,2025-05-13 18:20:47.020,2025-05-13 18:27:45.010,-1139558600,511621249,2025-05-13 18:20:47.020000+00:00,-1139664350,511455449,2025-05-13 18:27:45.010000+00:00
1,1380,2025-05-13 18:51:09.010,2025-05-13 19:10:30.010,-1139664816,511455266,2025-05-13 18:51:09.010000+00:00,-1141583883,511819100,2025-05-13 19:10:30.010000+00:00
1,1380,2025-05-13 19:47:17.010,2025-05-13 20:20:18.010,-1141585683,511818566,2025-05-13 19:47:17.010000+00:00,-1140824850,509853083,2025-05-13 20:20:18.010000+00:00
